Harga;Kecamatan;KT;KM;LT;LB;Lantai;Furnished;Carport
1600000000;2;5;4;143;170;2;0;0
1300000000;0;5;3;200;150;1;0;0
900000000;8;5;2;80;80;1;0;0
850000000;3;5;2;200;120;1;1;0
1800000000;2;5;4;93;116;2;2;0
1400000000;4;5;2;175;225;2;0;1
1800000000;5;4;2;136;150;2;2;0
665000000;1;4;2;111;70;1;0;0
2100000000;2;4;5;197;185;2;0;0
1300000000;2;4;3;117;116;2;0;0
34500000000;4;4;6;2600;400;1;0;0
1500000000;2;4;3;285;160;1;0;0
1700000000;2;4;4;120;125;2;0;0
2200000000;8;4;3;206;180;2;0;0
3500000000;2;4;3;481;160;2;0;0
2500000000;2;4;3;216;350;2;2;0
1300000000;1;4;3;112;130;2;0;0
1600000000;2;4;4;110;113;2;0;0
2900000000;8;4;3;189;220;2;0;0
3200000000;1;4;2;125;120;2;2;1
2100000000;8;4;5;197;185;2;2;0
4500000000;5;4;4;470;350;2;2;0
2000000000;3;4;2;180;202;1;0;0
17000000000;12;4;5;840;732;2;0;0
1300000000;2;4;3;190;250;2;0;0
800000000;2;4;1;140;140;1;0;0
3200000000;2;4;2;435;200;1;0;0
7500000000;11;4;2;789;110;1;0;1
1200000000;2;4;2;180;120;1;0;1
4400000000;3;4;3;350;400;2;0;1
1400000000;11;4;3;200;200;2;0;0
1200000000;2;4;3;114;130;2;0;0
5800000000;8;4;4;309;200;2;1;0
2800000000;3;4;4;190;220;2;0;0
3500000000;7;4;3;226;156;1;2;0
3400000000;7;4;2;198;150;1;2;0
3600000000;8;4;4;298;220;1;2;0
3100000000;2;4;3;481;160;1;1;0
5500000000;7;4;4;995;700;1;0;0
900000000;1;3;2;115;80;1;0;0
1200000000;3;3;2;130;100;1;0;0
900000000;4;3;3;166;122;1;0;0
1200000000;4;3;2;110;100;2;0;0
1500000000;2;3;2;111;50;1;0;1
4500000000;0;3;1;90;90;1;0;1
945000000;0;3;2;131;95;1;0;1
4000000000;7;3;3;245;200;1;0;0
2100000000;1;3;2;120;100;2;1;0
1400000000;3;3;1;120;95;1;0;0
4000000000;8;3;5;298;220;1;2;0
890000000;2;3;2;104;70;1;0;0
1600000000;3;3;2;351;200;1;0;0
1300000000;3;3;3;137;170;2;0;0
1500000000;2;3;2;100;125;2;2;0
1200000000;2;3;2;62;70;2;1;1
1300000000;2;3;2;117;117;2;0;0
1700000000;2;3;3;133;125;2;0;0
900000000;4;3;3;166;122;1;0;0
4000000000;8;3;5;298;220;1;2;1
1500000000;2;3;3;128;95;2;0;0
3300000000;5;3;3;280;140;2;2;0
2200000000;4;3;3;203;132;1;0;0
1500000000;1;3;2;140;130;2;0;1
1200000000;4;3;3;110;100;2;0;0
1300000000;3;3;2;137;170;2;2;0
2500000000;1;29;6;335;500;2;0;0
7500000000;4;28;28;444;798;2;2;0
7000000000;8;28;7;1145;520;2;1;0
12000000000;5;25;25;725;800;2;0;1
6500000000;8;23;23;299;750;3;2;1
4700000000;8;22;7;407;700;2;0;0
650000000;3;2;2;94;80;2;1;0
8500000000;7;2;2;603;400;1;0;0
850000000;7;2;1;107;50;1;0;0
1400000000;1;2;2;160;90;1;0;1
700000000;2;2;1;86;83;1;0;0
1400000000;1;2;3;160;90;1;1;0
775000000;1;2;1;71;44;1;0;0
750000000;1;2;2;116;90;2;0;0
4300000000;2;19;19;650;420;2;2;0
1800000000;2;18;7;300;200;3;0;0
1800000000;4;18;7;300;200;3;1;0
6000000000;1;17;17;550;450;2;0;0
6000000000;8;15;10;801;460;3;0;1
6500000000;8;14;16;350;300;1;0;0
4500000000;2;13;8;418;500;2;0;0
25000000000;7;12;6;835;851;1;0;0
13400000000;11;11;2;896;285;2;0;0
5500000000;4;11;11;802;800;2;0;1
8000000000;1;11;9;986;350;2;0;0
7500000000;13;10;10;1054;654;1;0;0
5000000000;2;10;8;418;540;2;0;0
1300000000;2;4;1;115;96;2;1;0
950000000;0;2;1;135;95;1;0;1
950000000;4;2;2;110;95;1;0;0
1100000000;2;2;2;110;94;2;0;0
925000000;2;4;2;105;90;1;2;0
1200000000;8;4;2;106;90;1;0;0
1100000000;0;3;2;133;90;1;0;1
5200000000;8;5;5;677;900;3;1;1
17000000000;8;12;12;2021;900;2;0;0
13000000000;11;8;6;550;850;2;1;0
1200000000;2;3;2;84;84;2;0;1
1700000000;1;3;2;89;82;2;1;0
650000000;3;2;2;94;80;1;0;0
17000000000;3;20;4;1250;800;2;2;0
13000000000;4;16;16;1394;800;1;2;1
4900000000;4;13;8;1100;700;2;0;0
750000000;2;3;2;92;65;2;0;0
14000000000;3;8;4;350;624;2;0;0
16000000000;7;8;6;861;600;1;0;0
3800000000;8;19;5;351;600;2;0;0
5000000000;2;13;10;418;540;2;0;1
4300000000;2;13;8;418;540;1;0;0
7000000000;8;8;3;420;521;1;0;0
15000000000;8;7;5;800;500;1;1;2
14500000000;8;7;5;800;500;2;2;0
15000000000;8;6;5;490;500;2;0;1
4200000000;0;5;5;402;500;2;0;0
37000000000;3;4;3;1660;500;1;0;1
5000000000;2;10;7;1100;500;2;0;0
1000000000;5;4;2;451;451;1;0;2
17500000000;8;8;6;780;450;2;0;0
3200000000;1;7;5;650;450;2;1;1
2700000000;2;29;7;452;450;2;0;0
3200000000;8;11;2;302;450;1;0;0
5000000000;4;3;4;472;425;1;1;1
4000000000;7;3;2;472;425;1;2;1
3900000000;2;5;4;270;417;2;0;0
3500000000;1;5;5;585;405;2;0;0
4200000000;0;4;5;500;402;2;0;0
5500000000;0;7;7;995;400;1;1;0
3600000000;2;7;2;600;400;2;0;0
35000000000;8;6;6;890;400;1;0;0
4000000000;2;5;5;640;400;1;1;0
5500000000;3;5;4;360;400;2;2;0
18000000000;8;5;2;820;400;1;0;0
7500000000;13;5;4;500;400;1;0;0
3700000000;1;5;5;357;400;2;2;1
7500000000;2;4;4;1200;400;1;0;0
2000000000;4;20;9;370;400;2;0;0
4200000000;2;18;5;591;400;2;0;0
7000000000;6;12;5;323;400;2;0;1
8000000000;13;1;2;200;390;1;0;1
3900000000;8;11;7;280;363;2;1;0
4700000000;8;8;7;360;350;2;0;0
14000000000;1;8;4;624;350;2;0;0
4900000000;9;7;4;263;350;2;1;0
3500000000;1;7;4;650;350;1;0;0
7500000000;8;6;2;682;350;1;0;1
2500000000;2;18;6;265;350;2;0;0
5000000000;2;18;9;598;350;1;0;1
2000000000;2;16;13;300;350;2;0;0
1300000000;2;14;14;200;350;2;2;0
3000000000;2;15;13;270;330;2;0;2
5000000000;10;4;2;210;320;2;0;0
6300000000;1;6;4;507;300;1;1;0
2600000000;5;5;2;368;300;1;2;0
3700000000;2;5;6;140;300;2;2;0
3000000000;3;5;5;144;300;2;1;0
3900000000;4;4;4;472;300;2;2;1
3900000000;4;4;4;472;300;1;2;0
5500000000;3;4;4;316;300;2;0;0
5400000000;5;3;2;363;300;1;0;0
2500000000;2;21;6;209;300;2;0;0
2500000000;2;17;17;180;300;2;2;0
1800000000;2;9;4;283;283;1;0;0
5400000000;8;5;4;305;280;2;0;0
1700000000;3;4;2;248;275;2;0;0
900000000;1;6;3;125;250;2;0;0
4500000000;7;5;5;350;250;2;2;0
2600000000;5;5;3;368;250;1;0;0
2700000000;8;3;2;135;250;2;0;0
2000000000;11;10;10;177;250;2;2;0
3500000000;2;10;10;345;250;2;0;1
1400000000;5;5;3;197;240;2;0;0
4500000000;0;5;5;582;233;1;0;0
1100000000;2;5;4;189;225;2;0;0
1400000000;5;6;3;412;220;1;0;0
2600000000;2;4;3;187;202;2;1;0
6500000000;8;6;4;440;200;1;0;0
6500000000;11;6;4;440;200;1;2;0
1500000000;2;5;3;299;200;2;0;0
1900000000;12;5;3;128;200;2;0;1
1700000000;0;5;3;300;200;1;0;1
1700000000;2;4;5;280;200;2;0;1
1300000000;2;4;5;107;200;2;2;0
2200000000;4;4;2;208;200;1;0;1
3000000000;2;3;3;121;200;2;0;0
1800000000;6;2;2;180;200;1;0;0
1500000000;1;12;13;225;200;2;0;0
14000000000;5;64;64;850;2000;3;2;0
2000000000;2;3;2;230;190;2;0;0
2700000000;3;4;3;175;180;2;0;1
1100000000;2;3;2;200;180;1;0;1
1900000000;3;4;2;187;173;2;0;0
2700000000;2;4;4;129;170;1;0;0
1400000000;0;4;2;108;160;2;0;0
2200000000;4;4;1;208;160;1;0;1
1600000000;1;3;2;117;160;2;2;0
1400000000;4;6;3;182;150;2;0;0
